time,roll,pitch,yaw
1.9567569333919331431388854980468750000000000000,-39.219,19.4719,-94.9106
1.9567579410943832248449325561523437500000000000,-39.0947,20.3951,-95.2501
1.9567599914987538009881973266601562500000000000,-38.8792,21.1383,-95.9323
1.9567620995832785964012145996093750000000000000,-38.5728,21.6934,-96.9435
1.9567642373740453273057937622070312500000000000,-38.3429,22.0541,-98.287
1.9567663518746051937341690063476562500000000000,-38.2839,22.1847,-99.9739
1.9567683579762544482946395874023437500000000000,-38.3616,22.0361,-101.959
1.9567704752036288380622863769531250000000000000,-38.5153,21.6189,-104.198
1.9567727572589416056871414184570312500000000000,-38.6607,21.0266,-106.559
1.9567748794266633689403533935546875000000000000,-38.6054,20.2891,-108.688
1.9567769794911444187164306640625000000000000000,-38.35,19.4383,-110.349
1.9567780694792427122592926025390625000000000000,-37.829,18.6583,-111.222
1.9567800036892201751470565795898437500000000000,-37.1322,18.2945,-111.384
1.9567820467472307384014129638671875000000000000,-36.4117,18.1966,-111.185
1.9567841520087003707885742187500000000000000000,-35.7886,18.0991,-111.145
1.9567862597724232822656631469726562500000000000,-35.2253,17.8991,-111.488
1.9567883837687149643898010253906250000000000000,-34.5755,17.6724,-112.069
1.9567905799774799495935440063476562500000000000,-33.7787,17.4985,-112.714
1.9567927077592320740222930908203125000000000000,-32.9019,17.3773,-113.289
1.9567947243831783533096313476562500000000000000,-31.9501,17.2876,-113.632
1.9567967675374295562505722045898437500000000000,-30.932,17.1549,-113.83
1.9567988854705680161714553833007812500000000000,-29.8034,17.0193,-113.989
1.9567999051068432629108428955078125000000000000,-28.5242,16.8349,-114.259
1.9568021070258792489767074584960937500000000000,-27.0348,16.6763,-114.635
1.9568042386251721531152725219726562500000000000,-25.3356,16.6256,-115.011
1.9568062671508636325597763061523437500000000000,-23.5339,16.5996,-115.294
1.9568083767431564629077911376953125000000000000,-21.8223,16.427,-115.513
1.9568105016376931220293045043945312500000000000,-20.191,16.2287,-115.543
1.9568126260189466178417205810546875000000000000,-18.5272,16.0986,-115.319
1.9568146480965230613946914672851562500000000000,-16.7787,16.0353,-114.969
1.9568167482572447508573532104492187500000000000,-14.9268,16.0277,-114.641
1.9568187640791866928339004516601562500000000000,-13.0931,16.0307,-114.479
1.9568207953637730330228805541992187500000000000,-11.4036,15.8909,-114.613
1.9568227944719444960355758666992187500000000000,-9.70963,15.604,-114.984
1.9568249221895363181829452514648437500000000000,-7.70139,15.4167,-115.346
1.9568259302769482135772705078125000000000000000,-5.50748,15.4806,-115.431
1.9568281424937203526496887207031250000000000000,-3.51446,15.4749,-115.273
1.9568301792319364845752716064453125000000000000,-1.97241,15.2502,-114.969
1.9568322150077473372220993041992187500000000000,-0.633691,15.0426,-114.63
1.9568343397418830543756484985351562500000000000,0.758358,14.9954,-114.167
1.9568363611136954277753829956054687500000000000,2.06907,15.0941,-113.626
1.9568383739521812647581100463867187500000000000,3.08694,15.0979,-113.106
1.9568403851545784622430801391601562500000000000,3.77263,14.9796,-112.633
1.9568424138727508485317230224609375000000000000,4.41708,14.8192,-112.246
1.9568445573417086154222488403320312500000000000,5.4135,14.7637,-112.032
1.9568466695966560393571853637695312500000000000,7.02681,14.8536,-111.812
1.9568488561492882668972015380859375000000000000,8.963,15.0636,-111.36
1.9568499558576796203851699829101562500000000000,10.5947,15.1062,-110.794
1.9568520764213923364877700805664062500000000000,11.5812,14.794,-110.213
1.9568542752928119152784347534179687500000000000,12.231,14.32,-109.641
1.9568563138275176286697387695312500000000000000,12.9516,13.9755,-109.11
1.9568584075401242822408676147460937500000000000,13.9113,13.9456,-108.605
1.9568606288355860859155654907226562500000000000,15.1734,14.0479,-107.957
1.9568627458063192665576934814453125000000000000,16.6454,14.0259,-106.919
1.9568649096461877226829528808593750000000000000,18.1593,13.8415,-105.576
1.9568659128253333270549774169921875000000000000,19.5282,13.4497,-104.071
1.9568681406009901314973831176757812500000000000,20.9187,12.7782,-102.276
1.9568702389331419020891189575195312500000000000,22.355,11.8516,-99.7639
1.9568722692232426255941390991210937500000000000,23.5877,10.7312,-96.6251
1.9568743058972984552383422851562500000000000000,24.5557,9.56608,-93.3176
1.9568763634555481374263763427734375000000000000,25.4512,8.35639,-89.8925
1.9568786689614687114953994750976562500000000000,26.2571,6.95821,-86.1166
1.9568804995204012840986251831054687500000000000,26.8815,5.31612,-81.8345
1.9568825700390417128801345825195312500000000000,27.3588,3.54982,-77.1148
1.9568846019973117858171463012695312500000000000,27.6192,1.76783,-72.2564
1.9568866242994491010904312133789062500000000000,27.7217,0.0013146,-67.5001
1.9568887288230746984481811523437500000000000000,27.832,-1.70111,-62.9236
1.9568898294297106564044952392578125000000000000,27.921,-3.43111,-58.3404
1.9568929127836290746927261352539062500000000000,27.8977,-5.23737,-53.6337
1.9568940012960392981767654418945312500000000000,27.7369,-7.07398,-48.8185
1.9568960392212215811014175415039062500000000000,27.4125,-9.00737,-43.8779
1.9568981716225191950798034667968750000000000000,26.8455,-11.1174,-38.6784
1.9569001706986099481582641601562500000000000000,25.9951,-13.4643,-33.1469
1.9569022027531206607818603515625000000000000000,24.7751,-15.9223,-27.4431
1.9569042269479885697364807128906250000000000000,23.2444,-18.3327,-21.8533
1.9569063080530863255262374877929687500000000000,21.49,-20.5574,-16.5547
1.9569084039150647819042205810546875000000000000,19.5505,-22.5499,-11.5895
1.9569105987764623016119003295898437500000000000,17.4036,-24.376,-6.9806
1.9569126607617758214473724365234375000000000000,15.0645,-26.2089,-2.87096
1.9569147825445353984832763671875000000000000000,12.5724,-27.9308,0.834283
1.9569168256025459617376327514648437500000000000,10.165,-29.4974,4.28821
1.9569189281692806631326675415039062500000000000,7.9574,-30.8322,7.41736
1.9569199377323810011148452758789062500000000000,5.87975,-31.9979,10.1691
1.9569222088804341852664947509765625000000000000,3.89454,-32.8825,12.5845
1.9569243302782315760850906372070312500000000000,1.95741,-33.3137,15.0268
1.9569264295727882534265518188476562500000000000,0.0485528,-33.1304,17.3076
1.9569284477686636149883270263671875000000000000,-1.72184,-32.5296,19.3296
1.9569304562121655791997909545898437500000000000,-3.5111,-31.8701,21.0207
1.9569325811387822031974792480468750000000000000,-5.61133,-31.1484,22.5141
1.9569346034409195184707641601562500000000000000,-7.86299,-30.3508,23.8844
1.9569366326723746955394744873046875000000000000,-10.2132,-29.5908,25.1553
1.9569387295288383960723876953125000000000000000,-12.7244,-28.814,26.5428
1.9569407722981274127960205078125000000000000000,-15.3164,-27.9176,28.0645
1.9569427840138074010610580444335937500000000000,-17.94,-26.8987,29.6541
1.9569449094216264784336090087890625000000000000,-20.679,-25.749,31.322
1.9569459131461348384618759155273437500000000000,-23.5292,-24.5394,33.1073
1.9569480348005738109350204467773437500000000000,-26.3214,-23.2125,34.9988
1.9569501855517309159040451049804687500000000000,-28.9792,-21.8042,36.9947
1.9569522120884515345096588134765625000000000000,-31.4199,-20.2175,39.034
1.9569543261719688773155212402343750000000000000,-33.6091,-18.5387,41.0286
1.9569563853983875364065170288085937500000000000,-35.5968,-16.7754,43.0257
1.9569584075080443173646926879882812500000000000,-37.4498,-15.02,44.9375
1.9569604318312328308820724487304687500000000000,-39.1361,-13.0436,46.9913
1.9569624869193088263273239135742187500000000000,-40.6374,-10.9338,49.1476
1.9569645160224433988332748413085937500000000000,-41.9205,-8.55475,51.5255
1.9569665573802046477794647216796875000000000000,-42.9241,-6.03749,54.0567
1.9569685920332096517086029052734375000000000000,-43.7353,-3.5687,56.5906
1.9569706697698891162872314453125000000000000000,-44.3236,-1.1809,59.0574
1.9569726944780394434928894042968750000000000000,-44.7226,1.08252,61.4391
1.9569747471280224621295928955078125000000000000,-44.8756,3.28637,63.8672
1.9569767584908202290534973144531250000000000000,-44.8232,5.65275,66.6567
1.9569787898395672440528869628906250000000000000,-44.6737,7.96034,69.4428
1.9569798924351740628480911254882812500000000000,-44.5974,10.0339,71.8946
1.9569820061016492545604705810546875000000000000,-44.443,11.8468,73.8676
1.9569840710383389145135879516601562500000000000,-44.2457,13.4087,75.3634
1.9569864026254415512084960937500000000000000000,-43.9792,14.8081,76.4118
1.9569885916803274303674697875976562500000000000,-43.7439,16.0083,77.0336
1.9569906791693802922964096069335937500000000000,-43.5625,17.0495,77.177
1.9569928749931830912828445434570312500000000000,-43.4861,17.9841,76.923
1.9569939804760057479143142700195312500000000000,-43.3618,18.9252,76.459
1.9569959928653690963983535766601562500000000000,-43.1178,19.9613,76.0091
1.9569980117349278181791305541992187500000000000,-42.7933,20.8775,75.4517
1.9570000251187767833471298217773437500000000000,-42.544,21.5952,74.5496
1.9570021358338762074708938598632812500000000000,-42.4304,22.2421,73.282
1.9570042575524751096963882446289062500000000000,-42.4361,22.7666,71.5941
1.9570062629804406315088272094726562500000000000,-42.6398,23.0067,69.3192
1.9570083211482137441635131835937500000000000000,-43.0172,23.121,66.5263
1.9570104133530519902706146240234375000000000000,-43.2487,23.6041,63.8323
